datetime,pm25,pm10,o3,no2
288,2014-10-16,65.0,33.0,16.0,51.0
289,2014-10-17,64.0,36.0,15.0,51.0
290,2014-10-18,75.0,37.0,20.0,46.0
291,2014-10-19,78.0,41.0,12.0,49.0
292,2014-10-20,74.0,39.0,20.0,37.0
293,2014-10-21,58.0,59.0,16.0,51.0
294,2014-10-22,69.0,44.0,18.0,49.0
295,2014-10-23,68.0,43.0,12.0,52.0
296,2014-10-24,78.0,51.0,5.0,49.0
297,2014-10-25,108.0,47.0,14.0,46.0
298,2014-10-26,100.0,56.0,6.0,53.0
299,2014-10-27,116.0,42.0,9.0,36.0
300,2014-10-28,89.0,53.0,6.0,47.0
301,2014-10-29,109.0,57.0,5.0,57.0
302,2014-10-30,108.0,55.0,6.0,60.0
303,2014-10-31,98.0,45.0,11.0,42.0
304,2014-11-01,88.0,28.0,21.0,29.0
305,2014-11-02,60.0,27.0,20.0,42.0
306,2014-11-03,50.0,36.0,16.0,52.0
307,2014-11-04,76.0,36.0,12.0,49.0
308,2014-11-05,71.0,44.0,12.0,52.0
309,2014-11-06,87.0,28.0,19.0,45.0
310,2014-11-07,57.0,34.0,13.0,40.0
311,2014-11-08,66.0,33.0,12.0,40.0
312,2014-11-09,71.0,37.0,10.0,44.0
313,2014-11-10,96.0,33.0,23.0,40.0
314,2014-11-11,72.0,35.0,16.0,49.0
315,2014-11-12,66.0,42.0,9.0,42.0
316,2014-11-13,69.0,34.0,8.0,45.0
317,2014-11-14,75.0,34.0,11.0,41.0
318,2014-11-15,76.0,26.0,14.0,42.0
319,2014-11-16,68.0,30.0,13.0,49.0
320,2014-11-17,70.0,38.0,8.0,46.0
321,2014-11-18,85.0,47.0,7.0,45.0
322,2014-11-19,99.0,47.0,5.0,36.0
323,2014-11-20,91.0,52.0,1.0,41.0
324,2014-11-21,109.0,54.0,1.0,42.0
325,2014-11-22,110.0,49.0,10.0,39.0
326,2014-11-23,103.0,37.0,15.0,45.0
327,2014-11-24,71.0,49.0,4.0,40.0
328,2014-11-25,95.0,46.0,10.0,41.0
329,2014-11-26,100.0,44.0,2.0,42.0
330,2014-11-27,87.0,44.0,4.0,45.0
